Key,English,NOTES,German,Russian
GAMEPLAY_QuoteAtwood,"""What am I living for and what am I dying for are the same question.""  

- Margaret Atwood",,"""„Das, wofür ich lebe, und das, wofür ich sterbe, sind ein und dasselbe.“ 

- Margaret Atwood""","""«Ради чего я живу, и ради чего я умираю — это один и тот же вопрос». 

Маргарет Этвуд"""
GAMEPLAY_QuoteDarwin,"""It is not the strongest of the species that survives, nor the most intelligent that survives. It is the one that is the most adaptable to change.""

- Charles Darwin",,"""„Es ist nicht die stärkste Spezies, die überlebt, auch nicht die intelligenteste, es ist diejenige, die sich am ehesten dem Wandel anpassen kann.“ 

- Charles Darwin""","""«Выживают не сильнейшие и не умнейшие из видов, а те, которые лучше всех адаптируются к переменам».

 Чарльз Дарвин"""
GAMEPLAY_QuoteDavies,"“Extraordinary people survive under the most terrible circumstances and they become more extraordinary because of it.” 

- Robertson Davies",,"""„Außergewöhnliche Menschen überleben unter den schlimmsten Umständen, und das macht sie noch außergewöhnlicher.“ 

- Robertson Davies""","""«Незаурядные люди выживают в самых ужасных условиях и становятся ещё незауряднее». 

Робертсон Дэвис"""
GAMEPLAY_QuoteGolding,"“He knelt among the shadows and felt his isolation bitterly. They were savages it was true; but they were human.” 

- William Golding, Lord of the Flies",,"""„Er kniete zwischen den Schatten nieder und spürte schmerzhaft, daß er allein war. Sie waren Wilde, ja, aber sie waren doch Menschen.“ 

- William Golding, Herr der Fliegen""","""«Он стоял на коленях перед тенями и горько ощущал свою изолированность. Они были дикими, правда, но они были человеческими». 

Уильям Голдинг, «Повелитель мух»"""
GAMEPLAY_QuoteHeller,"“He is at home with his solitude as the note reverberating inside a bell.” 

- Peter Heller, The Dog Stars",,"""„Er scheint sich in seiner Einsamkeit so geborgen zu fühlen wie ein Ton, der in einer Glocke schwingt.“ 

- Peter Heller, Das Ende der Sterne wie Big Hig sie kannte""","""«Он одинок как звук колокола». 

Питер Геллер, The Dog Stars"""
GAMEPLAY_QuoteKing,"""No one can tell what goes on between the person you were and the person you become. No one can chart that blue and lonely section of hell. There are no maps of the change. You just come out the other side."" 

- Stephen King, The Stand",,"""„Niemand kennt den Weg zwischen dem, der man ist, und dem, der man sein wird. Niemand kann diesen düsteren, einsamen Winkel der Hölle verorten. Es gibt keine Karte der Veränderungen. Man tritt einfach auf der anderen Seite aus ihnen hervor.“ 

The Stand – Das letzte Gefecht""","""«Никто не скажет, что происходит между тем, кем вы были, и тем, кем вы стали. Никто не может составить карту этой одинокой голубой области ада. Вы просто выходите с другой стороны». 

Стивен Кинг, «Противостояние»"""
GAMEPLAY_QuoteMamet,"“You know, I once read an interesting book which said that, uh, most people lost in the wilds, they, they die of shame. Yeah, see, they die of shame. 'What did I do wrong? How could I have gotten myself into this?' And so they sit there and they... die. Because they didn't do the one thing that would save their lives. Thinking.” 

- David Mamet, The Edge",,"""„Weißt du, ich hab ein interessantes Buch gelesen, in dem stand, dass die meisten Leute, die sich verirren, sich zu Tode schämen. Ja, sie schämen sich zu Tode: „Was hab ich falsch gemacht? Wie bin ich nur in diese Lage geraten?“ Und da sitzen sie dann und sterben. Weil sie die eine Sache nicht tun, die ihr Leben retten würde. Denken.“ 

- David Mamet, Auf Messers Schneide – Rivalen am Abgrund""","""«Знаете, мне однажды довелось прочитать интересную книгу, в которой говорилось, что, ммм, большинство людей умирают как дикари, от стыда. Да, они умирают от стыда. «Что я сделал не так? Как я до этого дошёл?» И вот так они мучаются и… умирают. Потому что они не сделали того, что могло бы спасти их жизнь. Они не думали». 

Дэвид Мэмет, «На грани»"""
GAMEPLAY_QuoteMatheson,"“The foraging for food and water, the struggle for life in a world without masters, housed in a body that man had made dependent on himself.” 

- Richard Matheson, I Am Legend",,"""„Die Suche nach Nahrung und Wasser, der Kampf ums Überleben in einer herrenlosen Welt, in einem Körper zu Hause, den der Mensch auf sich allein gestellt geschaffen hatte.“ 

- Richard Matheson, I Am Legend""","""«Добыча пищи и воды, борьба за жизнь в мире, где никто о тебе не позаботится, в теле человека, зависящего только от себя». 

Ричард Мэтисон, «Я — легенда»"""
GAMEPLAY_QuoteMcCarthy,"“No lists of things to be done. The day providential to itself. The hour. There is no later. This is later. All things of grace and beauty such that one holds them to one's heart have a common provenance in pain. Their birth in grief and ashes.” 

- Cormac McCarthy, The Road",,"""„Keine Listen von Dingen, die zu erledigen waren. Der Tag nicht selbst über sich hinausweisend. Die Stunde. Es gibt kein Später. Das ist das Später. Alles Anmutige und Schöne, das einem am Herzen liegt, hat einen gemeinsamen Ursprung im Schmerz. Wird aus Trauer und Asche geboren.“ 

- Cormac McCarthy, Die Straße""","""«Нет списков дел. День посвящён сам себе. Час. Некуда опаздывать. Ты уже везде опоздал. Все прекрасное и дорогое сердцу происходит из боли. Из горя и пепла». 

Кормак Маккарти, «Дорога»"""
GAMEPLAY_QuotePalahniuk,"""On a long enough time line, the survival rate for everyone drops to zero.""

- Chuck Palahniuk",,"""„Ist die Zeitkoordinate nur lang genug, sinkt die Überlebensrate für jeden von uns auf Null.“ 

- Chuck Palahniuk""","""«В продолжительной перспективе шансы на выживание для любого стремятся к нулю».

 Чак Паланик"""
GAMEPLAY_QuoteSagan,"“Extinction is the rule. Survival is the exception.” 

- Carl Sagan",,"""„Aussterben ist die Regel, Überleben die Ausnahme.“ 

- Carl Sagan""","""«Вымирание — это правило. Выживание — исключение». 

Карл Саган"""
GAMEPLAY_QuoteSalk,"“Life is an error-making and an error-correcting process, and nature in marking man's papers will grade him for wisdom as measured both by survival and by the quality of life of those who survive.”

- Jonas Salk",,"""„Das Leben ist ein Vorgang, bei dem Fehler gemacht und korrigiert werden, und die Natur benotet die Weisheit des Menschen, sowohl nach seinem Überleben als auch der Lebensqualität der Überlebenden.“ 

- Jonas Salk""","""«Жизнь — это процесс совершения и исправления ошибок. Жизнь проверит работу человека и поставит ему оценку в форме выживания и качества жизни».

 Джонас Солк"""
GAMEPLAY_QuoteSeneca,"""Sometimes even to live is an act of courage.""

- Seneca",,"""„Es gibt Zeiten, wo das Weiterleben selbst eine Tat von Kühnheit ist.“ 

- Seneca""","""«Иногда даже на то, чтобы просто жить, нужно мужество».

 Сенека"""
GAMEPLAY_QuoteThoreau,"""I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms."" 

- Henry David Thoreau, Walden",,"""„Ich zog in den Wald, weil ich den Wunsch hatte, mit Überlegung zu leben, dem eigentlichen, wirklichen Leben näher zu treten, zu sehen, ob ich nicht lernen konnte, was es zu lehren hätte, damit ich nicht, wenn es zum Sterben ginge, einsehen müsste, dass ich nicht gelebt hatte. Ich wollte nicht das leben, was nicht Leben war; das Leben ist so kostbar. Auch wollte ich keine Entsagung üben, außer es wurde unumgänglich notwendig. Ich wollte tief leben, alles Mark des Lebens aussaugen, so hart und spartanisch leben, dass alles, was nicht Leben war, in die Flucht geschlagen wurde.“ 

- Henry David Thoreau, Walden""","""«Я ушёл в лес, потому что хотел иметь дело только с реально существенными сторонами жизни и узнать, смогу ли я этому научиться, чтобы перед смертью не обнаружить, что не жил. Жизнь так дорога, и я не хотел тратить её понапрасну. Не хотел я и отрекаться от жизни без крайней необходимости. Я хотел жить глубоко и впитать весь сок жизни, жить так упорно и по-спартански, чтобы избавиться от всего ненужного, загнать жизнь в угол». 

Генри Дэвид Торо, «Уолден, или Жизнь в лесу»"""
GAMEPLAY_QuoteVonnegut,"“It is hard to adapt to chaos, but it can be done. I am living proof of that: It can be done” 

- Kurt Vonnegut, Breakfast of Champions",,"""„Es ist schwer sich dem Chaos anzupassen, doch es ist zu schaffen. Ich selbst bin der Beweis dafür: Es ist zu schaffen.“ 

- Kurt Vonnegut, Frühstück für Helden""","""«К хаосу сложно адаптироваться, но это возможно. Я тому живое доказательство». 

Курт Воннегут, «Завтрак для чемпионов»"""
GAMEPLAY_RabbitCooked,Lapin (Cuit),,,
GAMEPLAY_RabbitCookedDescription,Chair de lapin cuite.,,,
GAMEPLAY_RabbitCookedTooltip,,,
GAMEPLAY_RabbitGrove,Clapier à Lapin,,,
GAMEPLAY_RabbitRaw,Lapin  (Cru),,,
GAMEPLAY_RabbitRawDescription,Chair de lapin. A cuire pour la manger en toute sécurité.,,,
GAMEPLAY_RabbitRawTooltip,,,
GAMEPLAY_RabbitSkinMitts,Mitaines en Lapin,,Kaninchenpelzfäustlinge,Варежки из меха кролика
GAMEPLAY_RabbitSkinMittsDescription,"Mitaines artisanales. Moche mais très chaleureuses.",,"Handgearbeitete Fäustlinge. Unpraktisch, aber sehr warm.","Перчатки ручной работы. Не очень красивые, зато теплые."
GAMEPLAY_Radio,Radio,,,
GAMEPLAY_RavagedPrefix,Détérioré,,,
GAMEPLAY_RawCohoSalmon,Saumon Coho (Cru),,,
GAMEPLAY_RawCohoSalmonDescription,Un poisson formidable de la côte Ouest. Grossit jusqu'à une bonne taille.,,,
GAMEPLAY_RawLakeWhiteFish,Corégone Blanc (Cru),,,
GAMEPLAY_RawLakeWhiteFishDescription,"Un poisson d'eau douce commun. Petit, mais copieux.",,,
GAMEPLAY_RawRainbowTrout,Truite Arc-en-Ciel (Cru),,,
GAMEPLAY_RawRainbowTroutDescription,"Un petit poisson d'eau salée, du nom de son irisation.",,,
GAMEPLAY_RawSmallMouthBass,Achigan à Petite Bouche (Cru),,,
GAMEPLAY_RawSmallMouthBassDescription,Un poisson d'eau douce de grosse taille. Intolérant aux eaux polluées.,,,
GAMEPLAY_ReclaimedWood,Bois de récupération,,,
GAMEPLAY_ReclaimedWoodDescription,"Bois de récupération (de meubles cassés, de structures en bois, etc.)",,,
GAMEPLAY_ReclaimedWoodTooltip,Carburant & Matières premières,,,
GAMEPLAY_RecoveredFromBloodLoss,Remis de la perte de sang,,,
GAMEPLAY_Refuel,Faire le plein,,,
GAMEPLAY_RefuelingProgress,Remplissage...,,
GAMEPLAY_Region,Région,,,
GAMEPLAY_Register,Caisse,,,
GAMEPLAY_Reload,Recharger,,,
GAMEPLAY_Remedy,Remède,,,
GAMEPLAY_Repair,Réparer,,,
GAMEPLAY_RepairAmount,Degré de Réparation,,,
GAMEPLAY_RepairingProgress,Réparation...,,,
GAMEPLAY_RepairSkill,Compétence Réparation,,,
GAMEPLAY_RepairSkillIncreased,Compétence Réparation augmenté à {%-value},,,
GAMEPLAY_RequiredMaterials,Matériel requis,,,
GAMEPLAY_RequiredMaterialsHeader,"Matériels Requis",,,
GAMEPLAY_RequiresTool,(requiert outil),,,
GAMEPLAY_Requirestooltoforceopen,Requiert outil pour forcer l'ouverture,,,
GAMEPLAY_ResetToDefaults,Réinitialiser par défaut,,,
GAMEPLAY_Resolution,Résolution,,,
GAMEPLAY_Rest,Dormir,,,
GAMEPLAY_Rested,Reposé,,,
GAMEPLAY_RestRemaining,Repos Restant,,,
GAMEPLAY_Revolver,Revolver,,,
GAMEPLAY_RevolverDescription,,,
GAMEPLAY_RevolverTooltip,,,
GAMEPLAY_RifleAmmunition,Munition Fusils,,,
GAMEPLAY_RifleAmmunitionDescription,Une boîte de cartouches pour fusil.,,,
GAMEPLAY_RifleAmmunitionTooltip,Munitions,,,
GAMEPLAY_RifleRound,Cartouche de Fusil,,,
GAMEPLAY_RifleRoundDescription,Une cartouche pour fusil Cal .303.,,,
GAMEPLAY_RifleRoundTooltip,Munition,,,
GAMEPLAY_Right,Droite,,,
GAMEPLAY_RimGrill,Barbecue,,,
GAMEPLAY_RiverNorthernAccess,Rivière (Accès Nord),,,
GAMEPLAY_RiverSouthernAccess,Rivière (Accès Sud),,,
GAMEPLAY_Rockfall,Chute de pierres,,,
GAMEPLAY_Roll,Rouleau,,,
GAMEPLAY_Rolls,Rouleaux,,,
GAMEPLAY_Round,Cartouche,,,
GAMEPLAY_Rounds,Cartouches,,,
GAMEPLAY_Ruined,{item-name} détruit.,,,
GAMEPLAY_RuinedPostfix,(Détruit),,,
GAMEPLAY_Run,Courir,,,
GAMEPLAY_RunMethod,Course,,,
GAMEPLAY_Russian,Russe,Do not translate,русский,русский
GAMEPLAY_Safe,Coffre-fort,,,
GAMEPLAY_SaltyCrackers,Crackers Salés,,,
GAMEPLAY_SaltyCrackersDescription,"Biscuits secs et salés. Vous donnera soif.",,,
GAMEPLAY_SaltyCrackersTooltip,,,
GAMEPLAY_Sandbox,Bac à Sable,,,
GAMEPLAY_SandboxAlpha,*Bac à Sable Alpha*,,,
GAMEPLAY_SavedGame,Partie Sauvegardée,,,
GAMEPLAY_Savegameinconsistenciesfound,Incohérences de Sauvegarde Trouvées,,,
GAMEPLAY_ScrapMetal,Ferraille,,,
GAMEPLAY_ScrapMetalDescription,Des bouts de métal provenant de diverses sources.,,,
GAMEPLAY_ScrapMetalTooltip,Matière première,,,
GAMEPLAY_ScreenMode,Mode Affichage,,,
GAMEPLAY_Screenshot,Capture d'écran,,,
GAMEPLAY_ScreenshotsSaved,*Captures d'écran enregistrés sur le bureau,,,
GAMEPLAY_SearchedPostfix,(Fouillé),,,
GAMEPLAY_Searching,Fouille...,,,
GAMEPLAY_Selecthowmuchwatertodrop,Sélectionnez la quantité d'eau à lâcher,,,
GAMEPLAY_Selecthowmuchwatertotake,Sélectionnez la quantité d'eau à prendre,,,
GAMEPLAY_Selecthowmuchwatertotransfer,Sélectionnez la quantité d'eau à transférer,,,
GAMEPLAY_SelectNumToDrop,Sélectionnez le nombre de {item-name} à lâcher,,,
GAMEPLAY_SelectNumToHarvest,Sélectionnez le nombre de {item-name} à récolter,,,
GAMEPLAY_SelectNumToTransfer,Sélectionnez le nombre de {item-name} à transférer,,,
GAMEPLAY_SetDefaultFOV,Choisir FOV par défaut,,,
GAMEPLAY_SewingKit,Trousse de couture,,,
GAMEPLAY_SewingKitDescription,Une trousse de couture ordinaire. Requise pour la fabrication et la réparation de vêtements.,,,
GAMEPLAY_Sewingkitrequiredtorepairclothing,Trousse de couture nécessaire pour réparer les vêtements,,,
GAMEPLAY_SewingKitTooltip,,,
GAMEPLAY_Shoes,Chaussures,,,
GAMEPLAY_ShoesDescription,Des chaussures de marche. Inutile dans les grands espaces.,,,
GAMEPLAY_ShoesTooltip,Vêtements,,,
GAMEPLAY_Shovel,Pelle,,,
GAMEPLAY_ShovelDescription,Missing,,,
GAMEPLAY_ShovelTooltip,Missing,,,
GAMEPLAY_SilentClearing,Clairière Silencieuse,,,
GAMEPLAY_SimpleTools,Outils de Base,,,
GAMEPLAY_SimpleToolsDescription,"Des outils de base, utilisables pour la fabrication de base et la réparation.",,,
GAMEPLAY_SimpleToolsTooltip,Améliore la fabrication et la réparation,,,
GAMEPLAY_SkiJacket,Veste de ski,,,
GAMEPLAY_SkiJacketDescription,"Veste de ski matelassée synthétique. Maintient le corps au chaud mais au détriment de la résistance au vent.",,,
GAMEPLAY_SkiJacketTooltip,Vêtements,,,
GAMEPLAY_SleepInterruptedWolf,Interrompu par un loup pendant votre sommeil ! Vous dormiez depuis,,,
GAMEPLAY_SlightlyTired,Légèrement Fatigué,,,
GAMEPLAY_SmallCupboard,Petite armoire,,,
GAMEPLAY_SmashCan,Éventrer Boîte,,,
GAMEPLAY_SmashedItem,{item-name} éventré.,,,
GAMEPLAY_SmashedOpenPostfix,(Éventré),,,
GAMEPLAY_SmashingOpenProgress,Ouverture...,,,
GAMEPLAY_Snare,Collet,,,
GAMEPLAY_SnareDescription,"Un collet simple, utilisé pour capturer le petit gibier.",,,
GAMEPLAY_SnareTooltip,,,
GAMEPLAY_Snow,Neige,,,
GAMEPLAY_SnowShelter,Igloo,,,
GAMEPLAY_SnowShelterNotAvailable,"(Non disponible dans l'apha)

""Dépensez"" vos calories et du temps pour construire cet abri d'urgence, comme dernier recours lorsque vous êtes coincé dehors dans la tempête.",,,
GAMEPLAY_Softwood,Bois Tendre,,,
GAMEPLAY_SortAlphabetic,Alphabétique,,,
GAMEPLAY_SortCondition,Condition,,,
GAMEPLAY_SortHeader,Tri:,,,
GAMEPLAY_SortWeight,Poids,,,
GAMEPLAY_Sound,Son,,,
GAMEPLAY_South,Sud,,,
GAMEPLAY_SouthEast,Sud-Est,,,
GAMEPLAY_SouthWest,Sud-Ouest,,,
GAMEPLAY_Spacebar,Espace,,,
GAMEPLAY_SprainedAnkle,Cheville Foulée,,,
GAMEPLAY_SprainedAnkleDescription,"Vous vous êtes tordu la cheville et vous souffrez d'une entorse. Votre mobilité sera réduite jusqu'à ce que la traitiez ou qu'elle guérisse toute seule.",,,
GAMEPLAY_SprainedAnkleHealed,Foulure cheville guérie,,,
GAMEPLAY_SprainedAnkleHUD,Foulure cheville,,,
GAMEPLAY_SprainedAnkleLog,Foulure de la cheville.,,,
GAMEPLAY_Stalker,Rôdeur,,Schleicher,Сталкер
GAMEPLAY_Start,Lancer,,,
GAMEPLAY_Startedfire,Feu allumé.,,,
GAMEPLAY_StartFire,Faire un Feu,,,
GAMEPLAY_StartFishing,Commencer Pêche,,,
GAMEPLAY_StartHarvest,Commencer Recyclage,,,
GAMEPLAY_StartingFire,Allumage du feu...,,
GAMEPLAY_StartingFireIndoors,Allumer un feu en intérieur requiert un poêle ou d'un foyer,,,
GAMEPLAY_Starving,Affamé,,,
GAMEPLAY_StormLantern,Lampe Tempête,,,
GAMEPLAY_StormLanternDescription,Lampe Tempête à l'épreuve du vent avec amorceur mécanique. Consomme du kérosène.,,,
GAMEPLAY_StormLanternTooltip,Source de Lumière,,,
GAMEPLAY_Story,Histoire,,,
GAMEPLAY_StoryNotAvailable,"(Non disponible dans l'alpha)

Jouez l'histoire d'un pilote[FFFF00] Will Mackenzie[-] qui doit lutter pour survivre, après s'être écrasé en pleine nature à la suite d'une catastrophe géomagnétique mystérieuse.

(Saison Une - Ep. 1-?)",,,
GAMEPLAY_Strength,Force,,,
GAMEPLAY_Strike,Gratter,,,
GAMEPLAY_StrikeMatch,Allumer Allumette,,,
GAMEPLAY_Subtitles,Sous-titres,,,
GAMEPLAY_Success,Réussite,,,
GAMEPLAY_SufferedBurnsHUD,Souffre de Brûlures,,,
GAMEPLAY_SufferedBurnsLog,Souffre de Brûlures.,,,
GAMEPLAY_SummitSoda,Soda Summit,,,
GAMEPLAY_SummitSodaDescription,Boisson gazeuse sucrée. Bourrée de sirop de maïs à haute teneur en fructose.,,,
GAMEPLAY_SummitSodaTooltip,,,
GAMEPLAY_SurvivalPanel,Panneau de survie,,,
GAMEPLAY_SurvivalTimewillnotbesenttoLeaderboards,Le temps de survie ne sera pas envoyé au Leaderboards,,,
GAMEPLAY_Survivor,survivant,,,
GAMEPLAY_SymptomConditionDrain,Symptôme d'un pneumothorax,,,
GAMEPLAY_SymptomDehydration,Déshydratation,,,
GAMEPLAY_SymptomFatigue,Fatigue,,,
GAMEPLAY_SymptomMaxConditionReduced,Réduction Seuil de Condition,,,
GAMEPLAY_SymptomMobilityReduced,Mobilité Réduite,,,
GAMEPLAY_Tablet,Tablette,,,
GAMEPLAY_Tablets,Tablettes,,,
GAMEPLAY_Take,Prendre,,,
GAMEPLAY_TakeAll,Tout Prendre,,,
GAMEPLAY_TakeAntibiotics,Prendre Antibiotiques,,,
GAMEPLAY_TakeOff,Enlever,,,
GAMEPLAY_TakePainkillers,Prendre Analgésiques,,,
GAMEPLAY_TakingAntibiotics,Prise d'antibiotiques...,,,
GAMEPLAY_TakingPainkillers,Prise d'analgésiques...,,,
GAMEPLAY_TakingWaterProgress,Récupération eau...,,Wasser aufnehmen ...,Принимает воду...
GAMEPLAY_TestCache,Test Cache,,,
GAMEPLAY_TestWaterSource,Test Source d'Eau,,,
GAMEPLAY_TheTooth,La Dent,,,
GAMEPLAY_ThinWoolSweater,Pull en Laine Mince,,,
GAMEPLAY_ThinWoolSweaterDescription,"Tricot de laine. Épaisseur moyenne et reste chaud même mouillé.",,,
GAMEPLAY_ThinWoolSweaterTooltip,Vêtements,,,
GAMEPLAY_Thirst,Soif,,,
GAMEPLAY_Thirsty,Assoiffé,,,
GAMEPLAY_ThrowAim,Jeter / Viser,,,
GAMEPLAY_TimeForRepair,Temps nécessaire,,,
GAMEPLAY_TimeToCreate,Temps de Fabrication,,,
GAMEPLAY_Tinder,Amadou,,,
GAMEPLAY_TinderPlug,Fagot Allume-feu,,,
GAMEPLAY_TinderPlugDescription,"Un petit fagot, amalgame de matériaux inflammable (papier, laine, tissu, écorce sèche ou des aiguilles etc.) nécessaire pour démarrer un feu.",,,
GAMEPLAY_TinderPlugTooltip,Source d'Amadou,,,
GAMEPLAY_TinofSardines,Boîte de Sardines,,,
GAMEPLAY_TinofSardinesDescription,Petit poisson dans une boîte.,,,
GAMEPLAY_TinofSardinesTooltip,,,
GAMEPLAY_Tired,Fatigué,,,
GAMEPLAY_ToggleRun,Basculement,,,
GAMEPLAY_Toilet,Toilette,,,
GAMEPLAY_TomatoSoupCan,Soupe de tomates,,Tomatensuppe,Томатный суп
GAMEPLAY_TomatoSoupCanDescription,"Une soupe copieuse à l'odeur sucrée. Chaude, elle réchauffera votre coeur. Elle vous évitera d'être affamé pendant un petit moment.",,"Eine sämige, süß duftende Suppe. Sie ist heiß und wärmt dir das Herz. Könnte sogar den Hungertod noch etwas aufschieben.","Густой суп со сладковатым запахом. Он горячий и греет даже душу. Этот суп и голод прогонит, пусть ненадолго."
GAMEPLAY_Toodifficulttoopen,Trop difficile à ouvrir,,,
GAMEPLAY_Toofarawaytoplaceobject,Trop loin pour placer l'objet,,,
GAMEPLAY_ToolToUse,Outil à Utiliser:,,,
GAMEPLAY_Toowindytolightmatch,Trop de vent pour allumer l'allumette,,,
GAMEPLAY_Toque,Toque,,,
GAMEPLAY_ToqueDescription,Bonnet de laine. Style canadien.,,,
GAMEPLAY_ToqueTooltip,Vêtements,,,
GAMEPLAY_Torch,Torche,,Fackel,Фонарь
GAMEPLAY_TorchDescription,Une simple torche -- du même genre que celles qui ont éclairés les ténèbres depuis des années. Elle pourrait garder les loups à distance.,,"Eine einfache Fackel, wie sie seit Jahrtausenden benutzt wird, um die Dunkelheit zu vertreiben. Hält vielleicht sogar Wölfe fern.","Простой фонарь. Такой, какими люди тысячелетиями освещали себе путь во тьме. Свет может даже отогнать волков."
GAMEPLAY_TrainBridge,Pont Ferroviaire,,,
GAMEPLAY_TrainLoadingArea,Zone de Chargement Ferroviaire,,,
GAMEPLAY_TrainUnloading,Déchargement de Trains,,,
GAMEPLAY_Transfer,Transférer,,,
GAMEPLAY_TransferAll,Tout Transférer,,,
GAMEPLAY_TrappersHomestead,Refuge du Trappeur,,,
GAMEPLAY_TraveltoCoastalHighway,Se rendre à la route côtière,,,
GAMEPLAY_TraveltoMysteryLake,Se rendre au Lac Mystérieux,,,
GAMEPLAY_TraveltoRavine,Se rendre au Ravin,,,
GAMEPLAY_Treatment,Traitement,,Behandlung,Лечение
GAMEPLAY_Trunk,Coffre,,,
GAMEPLAY_Tumbler1,Gobelet 1,,,
GAMEPLAY_Tumbler2,Gobelet 2,,,
GAMEPLAY_Tumbler3,Gobelet 3,,,
GAMEPLAY_Tumbler4,Gobelet 4,,,
GAMEPLAY_Tumbler5,Gobelet 5,,,
GAMEPLAY_TunnelCollapse,Tunnel Effondré,,,
GAMEPLAY_TypeHeader,Type:,,,
GAMEPLAY_Ultra,Ultra,,,
GAMEPLAY_UnableToForage,Vous ne pouviez pas chercher plus de bois utilisable,,,
GAMEPLAY_Unarmed,Mains nues,,,
GAMEPLAY_Unequip,Déséquiper,,,
GAMEPLAY_units,unités,,,
GAMEPLAY_UnitsOfMeasurement,Unités,,Einheiten,Система измерения
GAMEPLAY_UnitsToHarvest,Quantités à trouver:,,,
GAMEPLAY_Unknown,Inconnu,,,
GAMEPLAY_UnnamedPond,Étang Sans Nom,,,
GAMEPLAY_unsafe,Dangereu(x,se),,,
GAMEPLAY_Use,Utiliser,,,
GAMEPLAY_USE,UTILISER,,,
GAMEPLAY_UseCanOpener,Ouvre-boîte,,,
GAMEPLAY_UseHatchet,Hachette,,,
GAMEPLAY_UseKnife,Couteau,,,
GAMEPLAY_VenisonCooked,Chevreuil (Cuit),,,
GAMEPLAY_VenisonCookedDescription,Chair cuite de chevreuil.,,,
GAMEPLAY_VenisonCookedTooltip,,,
GAMEPLAY_VenisonRaw,Chevreuil (Cru),,,
GAMEPLAY_VenisonRawDescription,Chair de chevreuil. A cuire pour être manger en toute sécurité.,,,
GAMEPLAY_VenisonRawTooltip,,,
GAMEPLAY_VerticalSync,V-Sync,,,
GAMEPLAY_VeryTired,Très fatigué,,,
GAMEPLAY_Visor,Visière,,,
GAMEPLAY_Voice,Voix,,,
GAMEPLAY_Voyageur,Voyageur,,Reisender,Скиталец
GAMEPLAY_WakeTime,Heure de réveil,,,
GAMEPLAY_Warmer,T° en hausse,,,
GAMEPLAY_WarmthBonus,Bonus Chaleur,,,
GAMEPLAY_Washer,Machine à laver,,,
GAMEPLAY_Water,Eau,,,
GAMEPLAY_WaterAddedToInventory,({quant-value}) d'eau {qual-value} ajouté dans l'inventaire,,,
GAMEPLAY_WaterBottleMedium,Bouteille d'Eau,,,
GAMEPLAY_WaterBottleMediumDescription,Bouteille en plastique qui peut contenir jusqu'à 1L de liquide.,,,
GAMEPLAY_WaterBottleMediumTooltip,,,
GAMEPLAY_WaterBottleSmall,Bouteille d'Eau,,,
GAMEPLAY_WaterBottleSmallDescription,Bouteille en plastique qui peut contenir jusqu'à 500 ml de liquide.,,,
GAMEPLAY_WaterBottleSmallTooltip,,,
GAMEPLAY_WaterfrontCottages,Chalets au bord de l'eau,,,
GAMEPLAY_WaterPotable,Eau (Potable),,,
GAMEPLAY_WaterPotableDescription,L'eau sans danger à la consommation.,,,
GAMEPLAY_WaterPotableTooltip,,,
GAMEPLAY_WaterPurificationTablets,Comprimés de Purification de l'Eau,,,
GAMEPLAY_WaterPurificationTabletsDescription,Un paquet de comprimés de purification d'eau. Peut aider à prévenir la dysenterie.,,,
GAMEPLAY_WaterPurificationTabletsTooltip,Purifie l'eau non potable,,,
GAMEPLAY_WaterPurified,{quant-value} d'eau purifiée,,,
GAMEPLAY_WaterQuantityQuality,{quant-value} d'eau ({qual-value}),,,
GAMEPLAY_WaterQuantityQualityRequiredToCookItem,{quant-value} {qual-value} d'eau requise pour le cuire,,{quant-value} Wasser ({qual-value}) zum Kochen nötig,Для приготовления нужна вода ({quant-value} {qual-value})
GAMEPLAY_WaterUnsafe,Eau (Insalubre),,,
GAMEPLAY_WaterUnsafeDescription,Eau qui peut vous rendre malade.,,,
GAMEPLAY_WaterUnsafeTooltip,,,
GAMEPLAY_WeakIce,Glace Fragile,,,
GAMEPLAY_Wear,Porter,,,
GAMEPLAY_WearingPostfix,(Équipé),,,
GAMEPLAY_WeatherConditions,Conditions,,,
GAMEPLAY_Weight,Poids,,,
GAMEPLAY_WeightAddedInventory,{weight-value} {item-name} ajouté dans l'inventaire,,,
GAMEPLAY_Wenttosleep,Je suis allé dormir.,,,
GAMEPLAY_West,Ouest,,,
GAMEPLAY_WetPercentPostfix,(Mouillé à {%-value}%),,({%-value} % nass),(Намокание: {%-value}%)
GAMEPLAY_WetPostfix,(Mouillé),,(nass),(Намокло)
GAMEPLAY_Wind,Vent,,,
GAMEPLAY_Windchill,Temp. Vent,,,
GAMEPLAY_Window,Fenêtre,,,
GAMEPLAY_WindproofBonus,Bonus Résist. Vent,,,
GAMEPLAY_WithWindchill,Avec Résist. Vent,,,
GAMEPLAY_Wokeupaftersleeping,Je me suis réveillé après avoir dormi ,,,
GAMEPLAY_Wolf,Loup,,,
GAMEPLAY_Wolfattack,Attaque de Loup !,,,
